scientific_name,author,year,bibliography,image_url,family,genus,plant_wiki,plant_id
Angiopteris pruinosa,Kunze,1846.0,Bot. Zeitung (Berlin) 4: 417 (1846),https://d2seqvvyy3b8p2.cloudfront.net/8c401fbc7d86cc10115a9ff11daa1d90.jpg,Marattiaceae,Angiopteris,https://en.wikipedia.org/wiki/Angiopteris,580
Sarcolobus globosus,Wall.,1816.0,Asiat. Res. 12: 568 (1816),https://d2seqvvyy3b8p2.cloudfront.net/e5db1c86a49d06fb6a787bdb06849f06.jpg,Apocynaceae,Sarcolobus,https://en.wikipedia.org/wiki/Sarcolobus_globosus,581
Pterostylis papuana,Rolfe,1899.0,Bull. Misc. Inform. Kew 1899: 112 (1899),https://d2seqvvyy3b8p2.cloudfront.net/774a78547c0d1b52ec0bd517ce851385.jpg,Orchidaceae,Pterostylis,https://en.wikipedia.org/wiki/Pterostylis,582
Chisocheton macrophyllus,King,1895.0,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 64: 22 (1895)",https://bs.plantnet.org/image/o/2aaf62394a57e4e4718d4cd2012a8df451390c6a,Meliaceae,Chisocheton,https://en.wikipedia.org/wiki/Chisocheton,583
Carex middendorffii,F.Schmidt,1868.0,"Reis. Amur-Land., Bot.: 70 (1868)",https://d2seqvvyy3b8p2.cloudfront.net/6382fd6733b1f02067b13e84c8df9683.jpg,Cyperaceae,Carex,https://en.wikipedia.org/wiki/List_of_Carex_species,584
Pseudophoenix sargentii,H.Wendl. ex Sarg.,1886.0,Bot. Gaz. 11:314.  1886,https://bs.plantnet.org/image/o/d7d9b41fb1f9dc1d9fab8e73b2a525c96ef8a559,Arecaceae,Pseudophoenix,https://en.wikipedia.org/wiki/Pseudophoenix_sargentii,585
Onosma frutescens,Lam.,1792.0,Tabl. Encycl. 1: 407 (1792),https://bs.plantnet.org/image/o/3611ed22384b9c4c1e32b5b98e0175bfd809b67b,Boraginaceae,Onosma,https://en.wikipedia.org/wiki/Onosma,586
Mangifera griffithii,Hook.f.,1860.0,Trans. Linn. Soc. London 23: 168 (1860),https://d2seqvvyy3b8p2.cloudfront.net/cff8e1bdcfd2cd374a769a1dbf8a9721.jpg,Anacardiaceae,Mangifera,https://en.wikipedia.org/wiki/Mangifera,587
Eriochloa procera,(Retz.) C.E.Hubb.,1930.0,Bull. Misc. Inform. Kew 1930: 256 (1930),https://d2seqvvyy3b8p2.cloudfront.net/598a11c54be55a1134aa4f2ee4af0779.jpg,Poaceae,Eriochloa,https://en.wikipedia.org/wiki/Eriochloa,588
Diplazium australe,(R.Br.) Wakef.,1942.0,Vict. Naturalist 58: 142 (1942),https://d2seqvvyy3b8p2.cloudfront.net/bd2ad41a77021592701a2d22504b2984.jpg,Aspleniaceae,Diplazium,https://en.wikipedia.org/wiki/Diplazium_australe,589
